Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
562,Bernhard Raimann,28,IND,T,16,16,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,RaimBe00
563,Craig Reynolds,29,DET,RB,7,0,0,0,0,,0,0,,,0.0,0.0,,,0,,ReynCr00
564,Giovanni Ricci,29,DET,TE,3,1,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,RiccGi00
565,Philip Rivers,44,IND,QB,3,3,0,0,0,,0,0,,,0.0,0.0,,,2,,RivePh00
566,Ronnie Rivers,26,LAR,RB,11,0,0,0,0,,0,0,,,0.0,0.0,,,0,,RiveRo01
567,Mason Rudolph,30,PIT,QB,5,1,0,0,0,,0,0,,,0.0,0.0,,,1,,RudoMa00
568,Cooper Rush,32,BAL,QB,4,2,0,0,0,,0,0,,,0.0,0.0,,,1,,RushCo00
569,Brady Russell,27,SEA,FB,17,1,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,RussBr00
570,Shedeur Sanders,23,CLE,QB,8,7,0,0,0,,0,0,,,0.0,0.0,,,2,PB,SandSh00
571,Jacob Saylors,24,DET,RB,16,0,0,0,0,,0,0,,,0.0,0.0,,,0,,SaylJa00
572,Tyler Shough,26,NOR,QB,11,9,0,0,0,,0,0,,,0.0,0.0,,,3,AP ORoY-2,ShouTy00
573,Steven Sims,28,ARI,WR,3,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,SimsSt00
574,Geno Smith,35,LVR,QB,15,15,0,0,0,,0,0,,,0.0,0.0,,,4,,SmitGe00
575,Matthew Stafford,37,LAR,QB,17,17,0,0,0,,0,0,,,0.0,0.0,,,7,PBAP-1AP MVP-1,StafMa00
576,Jarrett Stidham,29,DEN,QB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,StidJa00
577,C.J. Stroud,24,HOU,QB,14,14,0,0,0,,0,0,,,0.0,0.0,,,2,,StroCJ00
578,Grant Stuard,27,DET,LB,17,0,0,0,0,,0,0,,,0.0,0.0,,,0,,StuaGr00
579,Tua Tagovailoa,27,MIA,QB,14,14,0,0,0,,0,0,,,0.0,0.0,,,8,,TagoTu00
580,Tyrod Taylor,36,NYJ,QB,6,4,0,0,0,,0,0,,,0.0,0.0,,,1,,TaylTy00
581,Rodney Thomas II,27,IND,S,17,0,0,0,0,,0,0,,,0.0,0.0,,,0,,ThomRo07
582,Mitchell Trubisky,31,BUF,QB,4,0,0,0,0,,0,0,,,0.0,0.0,,,0,,TrubMi00
583,Clayton Tune,26,GNB,QB,2,1,0,0,0,,0,0,,,0.0,0.0,,,1,,TuneCl00
584,Malik Turner,29,SFO,WR,3,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,TurnMa00
585,Sione Vaki,24,DET,RB,11,0,0,0,0,,0,0,,,0.0,0.0,,,0,,VakiSi00
586,Cam Ward,23,TEN,QB,17,17,0,0,0,,0,0,,,0.0,0.0,,,11,,WardCa00
587,Carson Wentz,33,MIN,QB,5,5,0,0,0,,0,0,,,0.0,0.0,,,3,,WentCa00
588,Josh Williams,25,TAM,RB,3,0,0,0,0,,0,0,,,0.0,0.0,,,0,,WillJo011
589,Brayden Willis,26,SFO,TE,6,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,WillBr06
590,Malik Willis,26,GNB,QB,4,1,0,0,0,,0,0,,,0.0,0.0,,,2,,WillMa12
591,Russell Wilson,37,NYG,QB,6,3,0,0,0,,0,0,,,0.0,0.0,,,3,,WilsRu00
