Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
381,Luke Schoonmaker,DAL,TE,27,17,7,0,0,0,0,0,0,0,,0,23,14,132,9.43,0,0,0,0,,,13,27.2,30.2,20.2,,74,,SchoLu00
382,Ben Skowronek*,PIT,WR,28,17,3,0,0,0,0,0,0,0,,0,6,4,69,17.25,1,0,0,1,,,13,16.9,16.9,14.9,,154,,SkowBe00
383,Shedrick Jackson,LVR,WR,26,5,0,0,0,0,0,0,1,3,3.00,0,5,4,56,14.00,1,0,0,1,,,12,15.9,15.9,13.9,,156,,JackSh01
384,Quintin Morris,JAX,TE,26,14,5,0,0,0,0,0,0,0,,0,9,6,55,9.17,1,0,0,1,,,12,17.5,17.5,14.5,,75,,MorrQu00
385,Josh Reynolds,NYJ,WR,30,5,3,0,0,0,0,0,0,0,,0,21,11,101,9.18,0,0,0,0,1,,12,23.1,26.1,17.6,,155,,ReynJo00
386,Nate Adkins,DEN,TE,26,9,6,0,0,0,0,0,0,0,,0,11,6,48,8.00,1,0,0,1,,,11,16.8,16.8,13.8,,78,,AdkiNa00
387,KeAndre Lambert-Smith,LAC,WR,24,10,2,0,0,0,0,0,0,0,,0,12,5,51,10.20,1,0,0,1,,,11,16.1,16.1,13.6,,157,,LambKe01
388,Johnny Mundt,JAX,TE,31,16,6,0,0,0,0,0,0,0,,0,19,9,111,12.33,0,0,0,0,,,11,20.1,23.1,15.6,,77,,MundJo00
389,Kene Nwangwu,NYJ,RB,27,12,1,0,0,0,0,0,13,49,3.77,0,1,0,0,,0,0,0,1,,,11,10.9,10.9,10.9,,98,,NwanKe00
390,Chris Oladokun,KAN,QB,28,3,2,35,55,235,1,0,5,18,3.60,0,0,0,0,,0,4,2,0,,,11,11.2,13.2,11.2,,57,,OladCh00
391,Dante Pettis,NOR,WR,30,8,0,0,0,0,0,0,0,0,,0,11,9,127,14.11,0,1,1,0,,,11,19.7,23.7,15.2,,158,,PettDa00
392,Jack Stoll,NOR,TE,27,15,4,0,0,0,0,0,0,0,,0,11,6,46,7.67,1,0,0,1,,,11,16.6,16.6,13.6,,79,,StolJa00
393,Ian Thomas,LVR,TE,29,15,10,0,0,0,0,0,0,0,,0,13,13,114,8.77,0,0,0,0,,,11,24.4,27.4,17.9,,76,,ThomIa00
394,Jamari Thrash,CLE,WR,25,9,1,0,0,0,0,0,0,0,,0,15,10,107,10.70,0,0,0,0,,,11,20.7,23.7,15.7,,159,,ThraJa01
395,Tylan Wallace,BAL,WR,26,14,2,0,0,0,0,0,0,0,,0,8,4,45,11.25,1,0,0,1,,,11,14.5,14.5,12.5,,160,,WallTy00
396,Brittain Brown,CHI,RB,28,3,0,0,0,0,0,0,5,37,7.40,1,1,0,0,,0,0,0,1,,,10,9.7,9.7,9.7,,99,,BrowBr06
397,Tyler Conklin,LAC,TE,30,13,5,0,0,0,0,0,1,2,2.00,0,10,7,101,14.43,0,1,0,0,,,10,17.3,20.3,13.8,,80,,ConkTy00
398,Andy Dalton,CAR,QB,38,4,1,25,37,293,1,1,5,-2,-0.40,0,0,0,0,,0,2,2,0,,,10,9.5,12.5,10.5,,59,,DaltAn00
399,Will Dissly,LAC,TE,29,9,2,0,0,0,0,0,0,0,,0,16,11,97,8.82,0,0,0,0,,,10,20.7,20.7,15.2,,81,,DissWi00
400,DJ Giddens,IND,RB,22,9,0,0,0,0,0,0,26,96,3.69,0,2,0,0,,0,0,0,0,,,10,9.6,9.6,9.6,,101,,GiddDJ00
